course_name,course_number,course_description,course_requirements,course_dependent,major,expected_term,no_of_hours,course_type,no_of_available_sections
Applied Physics,PH104,"This course introduces the characteristics and applications of semiconductor devices and circuits.
Emphasis is placed on analysis, selection, biasing, and applications. Upon completion, students should
be able to construct, analyze, verify, and trouble shoot analog and logic circuits using appropriate
techniques. This course covers the concepts, equations and construction of analogue and digital
electronics circuits. The laboratory part is designed to provide students with fundamental concepts of
Electronic Circuits for lab experience. Emphasis is placed on analysis, selection, biasing, and
applications. Upon completion, students should be able to construct, analyze, verify, and troubleshoot
analog circuits using appropriate techniques and test equipment. Every class will have a short lecture
introducing the procedures, concepts, formulas and instructions relevant to the experiment. The lecture
will also cover what is expected in the lab-report; don’t be late. Attendance and participation is
mandatory. Experiments will usually be performed in groups, but each student will turn in an individual
lab report.",PHY103,CS228,"CS, IS",Level Two,3,Mandatory,3
The Holy Qur'an 2,QUR151,Learning and Recitation of Holy Quran (Reading 8 parts of the Quran and memorizing part 1).,No Requirements,No Dependent,"CS,IT,IS",Level Two,1,Mandatory,1
Discrete Structures2,CS205,"General description in to be used for the Bulletin or Handbook
This course will introduce the student to a body of mathematical concepts essential for the mastery of some of the
higher-level computer science courses. Topics include: Set theory, Functions and relations, Propositional and predicate
logic, Proof techniques, Recursive Algorithms, Elementary combinatorics and Counting methods, Graph theory, and
Discrete probability","CS114, SAT111","CS216, MATH227",CS,Level Three,3,Mandatory,3
Data Structures,CS252,"This course applies design and analysis techniques to numeric and nonnumeric
algorithms which act on data structures. Design is emphasized so that the student feels
comfortable with developing new algorithms. Analysis of algorithms is concerned with
the resources an algorithm must use to reach a solution. Only theoretical techniques of
analysis are covered. Topics include introduction to algorithm, asymptotic complexity,
sorting and searching, divide and conquer, data structures, graph algorithms, dynamic
programming, and NP-completeness.","CS151, CS114","CS216, CS290, CS222","CS, IS",Level Three,4,Mandatory,2
Computer architecture,CS228,"This computer science course covers the evolution of computer architecture and the
factors influencing the design of hardware and software elements of computer systems.
Topics include: instruction set Architectures; performance, performance measures and
performance evaluation for computer architectures. processor micro-architecture,
pipelining and pipelining hazards; cache and virtual memory organizations; Secondary
memory and Redundant Array of Independent Disks (RAID); concepts of parallel
architectures (such as Superscaler).","CS125, PH104",CS427,CS,Level Three,4,Mandatory,2
Applied Calculus 2,MATH114,Creating a general background of differential calculus and Integral Calculus and its applications which is essential to proceed to next courses in all programs.,MATH113,MATH227,"CS, IT",Level Three,4,Mandatory,2
The Holy Qur'an 3,QUR201,Learning and Recitation of Holy Quran (Reading 8 parts of the Quran and memorizing part 1).,No Requirements,No Dependent,"CS,IT,IS",Level Three,1,Mandatory,2
Design and Analysis of Algorithms,CS216,"This course provides an introduction to mathematical foundations for analyzing and designing algorithms. The course covers various algorithm design paradigms including brute-force, divide-and-conquer, greedy algorithms, and dynamic programming. The course emphasizes solving some well-known problems including sorting, searching, and graph problems using algorithmic techniques learned in the course.","CS252, CS205","CS361, CS445",CS ,Level Four,3,Mandatory,1
Software Engineering 1,CS290,"Software Engineering is the study and application of engineering principles to the design, development, and maintenance of software systems. It combines computing science, engineering, and mathematics into a unique and potent blend.",CS252 ,"CS392, CS370",CS ,Level Four,3,Mandatory,1
Operating systems,CS222,"In this course the student will study the basic concepts of operating systems (OS), the following concepts will be studied in this course: OS Overview (objectives, functions, evolution of OS, characteristics of modern OS), process description and control (process definition, process states, process description and process control), threads (definition, why use thread, relationship between processes and threads), microkernel (benefits of microkernel organization, microkernel design), uni-processor scheduling (types of scheduling, short term scheduling criteria, scheduling algorithms), memory management (memory management requirements, loading programs into main memory -fixed partitioning, dynamic partitioning, simple paging, simple segmentation-), virtual memory (paging, segmentation, combined paging and segmentation), operating system software (fetch policy, placement policy, replacement policy, resident set management, cleaning policy, load control), I/O management and disk scheduling (I/O devices, organization of I/O function, I/O buffering, disk I/O), and file management (file management system, file organization and access, file directories, secondary storage management).","CS125, CS252",CS330,"CS, IS",Level Four,4,Mandatory,1
Linear algebra,MATH227,"In this course the student will appreciate the importance of linear algebra and learn its applicability to practical engineering problems. Topics include: Systems of linear equations, row reduction and echelon forms, solution sets of linear systems, linear transformations.","MATH114, CS205",CS335,"CS, IT",Level Four,4,Mandatory,3
English Language 2,ENG141,"This course, Applied Sciences Stream Level 1, is a special English language course for students at the Preparatory Programs Deanship. The focuses on accuracy and fluency in the four language skills(Listening, speaking, reading and writing) that improve student outcomes by integrating language instruction into real-life contexts. It maintains a strategy-based curriculum that aims at developing the all language skills. The textbooks used for this course are characterized by a consistent unit sequence that includes vocabulary, life stories, grammar, everyday conversation and real-life reading. The content of each unit is carefully presented to develop learners' other skills in vocabulary and idioms that provide learners with the tools they need to achieve civic, workplace, life-skills and academic competencies. The course, through these textbooks, focuses on reading, writing and vocabulary, listening and speaking, and grammar.",ENG140,No Dependent,"CS, IS",Level Four,3,Mandatory,3
The Holy Qur'an 4,QUR251,Learning and Recitation of Holy Quran (Reading 8 parts of the Quran and memorizing part 1).,No Requirements,No Dependent,"CS,IT,IS",Level Four,1,Mandatory,3
Computer Networks,CS330,"This course provides a robust understanding of networking. It teaches the fundamentals of networking systems, their architecture, function and operation and how those fundamentals are reflected in current network technologies.",CS222,"CS334, CS427, CS495,CS335, CS337","CS, IS",Level Five,4,Mandatory,3
Artificial Intelligence,CS361,"The field of artificial intelligence encompasses computer science, natural language processing, coding, mathematics, data science, and many other disciplines.",CS216,"CS364, CS365",CS,Level Five,4,Mandatory,3
Software Engineering 2,CS392,"Software Engineering is the study and application of engineering principles to the design, development, and maintenance of software systems. It combines computing science, engineering, and mathematics into a unique and potent blend.",CS290,"CS351, CS383, CS445, CS346",CS,Level Five,3,Mandatory,3
Introduction to Databases,CS370,"In this course, you will be introduced to databases and explore the modern ways in which they are used. Learn to distinguish between different types of database management systems then practice basic creation and data selection with the use of Structured Query Language (SQL) commands.",CS290,"CS495, CS375",CS,Level Five,3,Mandatory,3
???????,???133,,No Requirements,No Dependent,"CS,IT,IS",Level Five,2,Mandatory,3
Information Securty,CS334,This demands additional computer security measures to protect the information and relevant systems. This course prepares the students to meet the new challenges in the world of increasing threats to computer security by providing them with an understanding of the various threats and countermeasures.,"CS330, MATH227, CS180",CS428,CS,Level Six,4,Mandatory,3
Human–computer interaction,CS351,"The course introduces students to analysis, design, and evaluation of the interaction between people and information and communication technologies. The aim is to give students an adequate understanding of the concepts of usability, user experience, and user-centered design.",CS392,"CS456, CS447, CS358",CS,Level Six,3,Mandatory,3
Seminar,CS383,"small, discussion-based courses. Typically, students complete readings and assignments before the class and discuss major themes or topics during class.",CS392,CS495,CS,Level Six,2,Mandatory,3
?????? ???????,???207,,No Requirements,No Dependent,"CS,IT,IS",Level Six,2,Mandatory,4
?????? ?????????,???129,,No Requirements,No Dependent,"CS,IT,IS",Level Six,2,Mandatory,4
Comiloer,CS445,"introduces students to the design and implementation of compilers for programming languages. Specifically, students will learn how to systematically translate modern, high-level, programming languages into efficient, executable machine code.","CS216, CS392","CS467, CS469",CS,Level Seven,4,Mandatory,4
Distributed Systems,CS427,"This course provides an in-depth understanding of fundamental principles and models underlying the theory, algorithms, and systems aspects of distributed computing.","CS330, CS228",CS443,CS,Level Seven,3,Mandatory,4
Graduation Project 1 -CS-,CS495,"The graduation project challenges students to go beyond the learning that occurs as the result of their prescribed educational program by developing projects that demonstrate their intellectual, technical and creative abilities. Students shall complete their projects in areas of concentrated study under the direction and supervision of faculty members. The projects will demonstrate the students' ability to apply, analyze, synthesize, evaluate information, and communicate significant knowledge and comprehension. Personal growth and satisfaction are associated with the graduation projects. Students will derive sense of accomplishment through the completion and “ownership” of bodies of works that are reflections of their interests and abilities. Opportunities to expand their personal knowledge and explore careers and apply learning to real life situations will serve to benefit the students' growth and promote lifelong learning.","CS383, CS330, CS370",CS497,CS,Level Seven,2,Mandatory,4
???,???105,,No Requirements,No Dependent,"CS,IT,IS",Level Seven,2,Mandatory,0
Graduation Project 2 -CS-,CS497,"The graduation project challenges students to go beyond the learning that occurs as the result of their prescribed educational program by developing projects that demonstrate their intellectual, technical and creative abilities. Students shall complete their projects in areas of concentrated study under the direction and supervision of faculty members. The projects will demonstrate the students' ability to apply, analyze, synthesize, evaluate information, and communicate significant knowledge and comprehension. Personal growth and satisfaction are associated with the graduation projects. Students will derive sense of accomplishment through the completion and “ownership” of bodies of works that are reflections of their interests and abilities. Opportunities to expand their personal knowledge and explore careers and apply learning to real life situations will serve to benefit the students' growth and promote lifelong learning.",CS495,No Dependent,CS,Level Eight,3,Mandatory,0
????? ??????? ??????? ????????,???102,,No Requirements,No Dependent,"CS,IT,IS",Level Eight,2,Mandatory,0
???,???200,,No Requirements,No Dependent,"CS,IT,IS",Level Eight,2,Mandatory,4
Machine Learning,CS364,"Machine Learning is the study of how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, optimization, and probability theory.",CS361,CS464,CS,Level Six or Seven or Eight,3,Optional,4
Natural language processing,CS365,"The course is presented in a standard format of lectures, readings, problem sets. It covers the introduction of fundamental concepts and methods for natural language processing using a computer.",CS361,No Dependent,CS,Level Six or Seven or Eight,3,Optional,3
Deep Learning,CS464,"In many real-world Machine Learning tasks, especially those with perceptual input, such as vision and speech, the mapping from raw data to the output is often an overly complicated function with many factors of variation. In the past, to achieve acceptable performance on such tasks, significant effort had to be expended to engineer hand crafted features. However, with the advent of deep learning, such tasks have been made easily facilitated and more realistic. In this respect, deep Learning algorithms aim to learn feature hierarchies with features at higher levels in the hierarchy formed by the composition of lower-level features. This automatic feature learning has been demonstrated to uncover underlying structure in the data leading to state-of-the-art results in tasks in vision, speech and rapidly in other domains as well. This course centers on learning the basic theory of deep learning and how to apply it to various applications. It aims to present the mathematical, statistical, and computational challenges of building stable representations for high-dimensional data, such as images, text, and data. It will delve into selected topics of Deep Learning, discussing recent models from both supervised and unsupervised learning. Special emphasis will be on convolutional architectures, invariance learning, unsupervised learning, and non-convex optimization and other related topics in the area of deep learning.
",CS364,No Dependent,CS,Level Six or Seven or Eight,3,Optional,2
Metaheuristic,CS467,"The course aims to give an overview of modern (meta)heuristic optimization methods that are suitable for solving practical optimization problems.
",CS445,No Dependent,CS,Level Six or Seven or Eight,3,Optional,2
Digital Image Processing,CS456,"Covers quantitative models of imaging systems, spatial domain and frequency domain methods, digital filter design for image enhancement and restoration, edge detection, image denoising, image segmentation, image enhancement, image restoration, image compression, and image representation and description.",CS351,No Dependent,CS,Level Six or Seven or Eight,3,Optional,2
Selective Subjects In Artificial Intelligence,CS469,"Artificial Intelligence courses are designed to impart knowledge on various topics in AI, including machine learning, deep learning, natural language processing, computer vision, robotics, and data analytics.",CS445,No Dependent,CS,Level Six or Seven or Eight,3,Optional,2
Advanced Databases,CS375,"Advanced database systems try to meet the requirements of present-day database applications by offering advanced functionality in terms of data modeling, multimedia data type support, data integration capabilities, query languages, system features, and interfaces to other worlds.",CS370,No Dependent,CS,Level Six or Seven or Eight,3,Optional,2
Web application development,CS346,"You will learn how to control data read and write access using methods, publish and subscribe. You will learn how to access your database and server shells using command line tools. You will use the SimpleSchema system to validate data and generate input forms automatically.",CS392,No Dependent,CS,Level Six or Seven or Eight,3,Optional,2
Mobile application development,CS447,"This course introduces students to programming technologies, design and development related to mobile applications. Topics include accessing device capabilities, industry standards, operating systems, and programming for mobile applications using an OS Software Development Kit (SDK).",CS351,CS449,CS,Level Six or Seven or Eight,3,Optional,2
Game application development,CS358,"Students will explore foundational software engineering techniques used to develop modern applications and games. The course will cover software life-cycle topics such as requirement gathering, planning, design, implementation, and maintenance. Problem solving techniques will also be covered.",CS351,No Dependent,CS,Level Six or Seven or Eight,3,Optional,3
Selected topics in platform-based application development,CS449,"Tools and APIs required to build applications for the specific platforms using an SDK. Object-oriented design using model-view-controller paradigm, memory management, using the appropriate programming language. User interface designs for mobile devices and unique user interactions using multi-touch technologies. Other topics include: object-oriented database API, animation, mobile device power management, multi- threading and performance considerations. This course may be varied according to the platform chosen.",CS447,No Dependent,CS,Level Six or Seven or Eight,3,Optional,3
Cloud Computing,CS335,"Cloud computing is a method of computing in which a shared group of resources — such as file storage, web servers, data processing services, and applications — are accessed via the internet.",CS330,No Dependent,CS,Level Six or Seven or Eight,3,Optional,3
Operating systems security,CS428,"This course deals with security concepts and procedures applied in operating systems. Students will examine security concepts that are uniquely implemented into operating systems. Also, this course will enable practical hands-on approach when testing operating system security techniques.",CS334,No Dependent,CS,Level Six or Seven or Eight,3,Optional,3
Computer network security,CS337,"In this course, student will learn the fundamental principles of computer and network security by studying attacks on computer systems, network, and the Web. Students will learn how those attacks work and how to prevent and detect them.",CS330,No Dependent,CS,Level Six or Seven or Eight,3,Optional,3
Software security,CS442,"This course focuses on software security fundamentals, secure coding guidelines and principles, and advanced software security concepts. Students will learn to assess and understand threats, learn how to design and implement secure software systems, and get hands-on experience with common security pitfalls.",CS334,No Dependent,CS,Level Six or Seven or Eight,3,Optional,4
Selected topics in cybersecurity and networks,CS443,Courses on specialized or emerging cybersecurity topics offered on a timely or as-needed basis. This course can be repeated for credit.  The description of the actual topic I list in the “note section” in the Schedule of Classes.,CS427,No Dependent,CS,Level Six or Seven or Eight,3,Optional,4
Applied Calculus 1 -IS-,MATH101,Creating a general background of differential calculus and Integral Calculus and its applications which is essential to proceed to next courses in all programs.,No Requirements,No Dependent,IS,Level One,4,Mandatory,4
Foundations of information systems,IS201,"This module establishes the importance of information systems for businesses. It explores basic concepts in information systems, including roles and responsibilities. It also discusses data, information system technologies, and information technology.",CS114,IS230,IS,Level Two,3,Mandatory,1
Business requirements analysis,IS230,"This three day applied course provides the steps and practices to effectively gather business and system requirements. Participants learn a variety of practical communication, analysis and modeling techniques — the best practices used in the Requirements Elicitation Process. And even more importantly, participants are taught – and given the opportunity to practice how to apply them on systems development projects.",IS201,IS220,IS,Level Three,3,Mandatory,1
Technical writing,ENG210,"Write effective technical documents, manuals, and white papers. Assess your audience and develop documents to meet their needs. Explain information clearly and accurately. Use diagrams, tables, charts, and other graphical tools effectively.",ENG141,No Dependent,IS,Level Three,3,Mandatory,2
Introduction to business administration,???100,Provides the foundation for management in many different industries. ,No Requirements,"???100, IS336",IS,Level Three,3,Mandatory,2
Microeconomics,???105,This course is used to analyze the manner in which markets resolve a problem that is caused by scarce resources. You will also learn about the role of the government in a market-driven society.,No Requirements,No Dependent,IS,Level Three,3,Mandatory,2
Introduction to Databases -IS-,IS220,"This course of introduces students to basic relational database concepts. The course teaches students relational database terminology, as well as data modeling concepts, building Entity Relationship Diagrams (ERDs), and mapping ERDs.","CS252, IS230","IS350, ???301, IS252, IS370, IS372",IS,Level Four,3,Mandatory,2
Accounting principles,???100,"This is an introductory course with the objective to provide the students with broad knowledge of financial accounting concepts. This course introduces the basic accounting concepts, the operation of accounting system, and interpretation of financial statements in business firms.",???100,"???300, IS451",IS,Level Four,3,Mandatory,3
Database management systems,IS321,"It includes representing information with the relational database model, manipulating data with an interactive query language (SQL) and database programming, database development including internet applications, and database security, integrity and privacy issues.",CS222,"IS337, IS424",IS,Level Five,3,Mandatory,3
Decision support systems,IS350,"A decision support system (DSS) is a computerized program used to support determinations, judgments, and courses of action in an organization or a business. A DSS sifts through and analyzes massive amounts of data, compiling comprehensive information that can be used to solve problems and in decision-making.",IS220,No Dependent,IS,Level Five,3,Mandatory,3
Systems analysis and design,IS335,"The course teaches students how to use standard artefacts and methodologies to analyse and guide software development and systems projects. This course provides a broad exposure to the IT Management, Information System Design, and Principles.",SAT111,"IS380, IS323, IS354, IS384, IS435, IS385, IS451, IS461, IS335",IS,Level Five,3,Mandatory,4
Principles of Marketing,???301,"You will learn how to create products and services that serve consumers, and deliver products and services in a way that optimises value. By studying the principles of marketing you will learn about being responsible for making money for the company and delivering satisfaction to your customers.",IS220,IS401,IS,Level Five,3,Mandatory,4
Information systems project management,IS336,"This course provides an understanding of how to perform project management, such as human resource planning, system development, project estimation, project scheduling, project implementation and control.",???100,"IS495, IS440, IS442, IS424, IS435, IS463, IS461, IS487",IS,Level Five,3,Mandatory,4
Cyber security,IS380,"This course introduces the concepts and understanding of the field of computer security and how it relates to other areas of information technology. Topics include security threats, hardening systems, securing networks, cryptography and organizational security policies.",IS335,IS492,IS,Level Six,3,Mandatory,2
Application development,IS337,"This course introduces students to programming technologies, design and development related to mobile applications. Topics include accessing device capabilities, industry standards, operating systems, and programming for mobile applications using an OS Software Development Kit (SDK).","IS321, CS330","IS495, IS460",IS,Level Six,3,Mandatory,2
Financial principles,???300,"You will learn to use financial concepts such as the time value of money, pro forma financial statements, financial ratio analysis, capital budgeting analysis, capital structure, and the cost of capital. This course will also provide an introduction to bonds and stocks.",???100,IS401,IS,Level Six,3,Mandatory,2
Graduation Project 1 -IS-,IS495,"The graduation project challenges students to go beyond the learning that occurs as the result of their prescribed educational program by developing projects that demonstrate their intellectual, technical and creative abilities. Students shall complete their projects in areas of concentrated study under the direction and supervision of faculty members. The projects will demonstrate the students' ability to apply, analyze, synthesize, evaluate information, and communicate significant knowledge and comprehension. Personal growth and satisfaction are associated with the graduation projects. Students will derive sense of accomplishment through the completion and “ownership” of bodies of works that are reflections of their interests and abilities. Opportunities to expand their personal knowledge and explore careers and apply learning to real life situations will serve to benefit the students' growth and promote lifelong learning.","IS336, IS337",IS496,IS,Level Seven ,3,Mandatory,3
Electronic business,IS460,"The course introduces the fundamentals and infrastructure of e-Business to familiarize students with related new technology development. It also discusses how e-Business differs from traditional business in terms of business processes and activities, and how we can set business strategies with e-Business.","IS337, ???301",No Dependent,IS,Level Seven ,3,Mandatory,3
Information Security,IS492,"In this course, you will learn the fundamentals of information security, security threats, modes of attack, and cryptographic models. Access control, identification, and authentication are also addressed.",IS380,No Dependent,IS,Level Seven ,3,Mandatory,3
Business relations,IS401,Inteq's Business Relationship Management (BRM) training provides best practice techniques and methods to improve and elevate essential skills.,???300? ???301,No Dependent,IS,Level Seven ,1,Mandatory,3
Graduation Project 2 -IS-,IS496,"The graduation project challenges students to go beyond the learning that occurs as the result of their prescribed educational program by developing projects that demonstrate their intellectual, technical and creative abilities. Students shall complete their projects in areas of concentrated study under the direction and supervision of faculty members. The projects will demonstrate the students' ability to apply, analyze, synthesize, evaluate information, and communicate significant knowledge and comprehension. Personal growth and satisfaction are associated with the graduation projects. Students will derive sense of accomplishment through the completion and “ownership” of bodies of works that are reflections of their interests and abilities. Opportunities to expand their personal knowledge and explore careers and apply learning to real life situations will serve to benefit the students' growth and promote lifelong learning.",IS495,No Dependent,IS,Level Eight,3,Mandatory,0
Information systems strategy and policy,IS482,"This course teaches concepts of information systems and their role in business. This course focuses on information systems, database management systems, networking, Internet, e-commerce, ethics and security, computer systems hardware and software components, and webpage development.",,No Dependent,IS,Level Eight,3,Mandatory,0
Institutional environment,IS410,The institutional environment consists of normative and regulatory pressures exerted on organizations by the state or society and the professions. These pressures can be coercive and direct and enforced through mechanisms such as courts and regulations.,,No Dependent,IS,Level Eight,3,Mandatory,0
Jurisprudence of electronic transactions,???206,"This course tries to give a deeper and contextual understanding the principles and drafting of commercial contracts, namely, sale of goods, agency, hire-purchase, distribution and franchise, service and maintenance, e-commerce, consultancy, and so on. This course is designed to look into greater depth and a more detailed and critical study of the law relating to these types of commercial contracts. This course will adopt a comparative approach by looking at the various jurisdictions such as namely America, England and Saudi Arabia. The objectives of the course are to inculcate specialized and advanced knowledge and skills to the students on the commercial contracts. This course is also aimed to develop the students’ ability to communicate ideas, theories and legal principles and also to identify the legal issues and apply the legal principles in any given facts situation.",,No Dependent,IS,Level Eight,2,Mandatory,1
Geographic information systems,IS252,"GIS is a computer system that captures, stores, checks, and displays information related to positions on Earth's surface. The ability to link maps digitally to information enables us to visualize and understand patterns and relationships around us.",IS220,No Dependent,IS,Level Six or Seven or Eight,3,Optional,1
Human interaction with computer,IS370,"The course introduces students to analysis, design, and evaluation of the interaction between people and information and communication technologies. The aim is to give students an adequate understanding of the concepts of usability, user experience, and user-centered design.",IS220,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
User experience,IS372,"This UX course provides an introduction to the fields of UX research and design. Learners will gain an understanding of what is involved in UX research, including conducting interviews, evaluating systems, and analyzing systems using principles of good design.",IS220,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Knowledge management systems,IS323, This subject focuses on how Knowledge Management (KM) and a range of Information Technologies and analysis techniques are used to support KM initiatives in organisations.,IS335,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Health information systems,IS354,"Health information is any personal information about your health or disability. It includes information or opinion about your illness, injury or disability. Some examples of health information include: notes of your symptoms or diagnosis. information about a health service you've had or will receive.",IS335,No Dependent,IS,Level Six or Seven or Eight,3,Optional,3
Selected topics in information systems 1,IS384,"This course teaches concepts of information systems and their role in business. This course focuses on information systems, database management systems, networking, Internet, e-commerce, ethics and security, computer systems hardware and software components, and webpage development.",IS335,No Dependent,IS,Level Six or Seven or Eight,3,Optional,3
Database management,IS424,"Database Management is about the monitoring, administration, and maintenance of databases and database groups across an enterprise. Managing a database involves designing, implementing, and supporting stored data, to maximize its value.","IS321, IS336",No Dependent,IS,Level Six or Seven or Eight,3,Optional,4
Data mining,IS440,"In this course, students will learn basic concepts and tools for data mining, including data sources, data cleaning tools and methods, mainstream algorithms for data mining, statistical modeling, popular tools for mining structured data and unstructured data.",IS336,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Business intelligence,IS442,"Business Intelligence (BI) refers to technologies, applications, and practices for the collection, integration, analysis, and presentation of business information. The purpose of business intelligence is to support better business decision making.",IS336,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Software quality and experience,IS435,"This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities.","IS335, IS336",No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Selected topics in information systems 2,IS385,"This course teaches concepts of information systems and their role in business. This course focuses on information systems, database management systems, networking, Internet, e-commerce, ethics and security, computer systems hardware and software components, and webpage development.",IS335,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Change management,IS463,"It covers what change management is, how to lead and facilitate change, the change framework and the human skills required. The course will provide participants with practical tools and techniques to manage change more effectively and give more certainty around achieving the benefits of the change.",IS336,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Enterprise resource planning systems,IS451,"This course focuses on the systems approach to the planning, analysis, design, development, and evaluation of the supply chain. The course discusses activities that lead to the integration of information and material flows across multiple organizations.","IS335, ???100",No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Business process management,IS461,"This course leads students through the phases of the Business Process Management lifecycle, which consists of the stages goal setting, process design, process implementation, process enactment and measurement, and process evaluation.","IS335, IS336",No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
E-commerce security,IS487,"This is an introductory course to the world of electronic commerce, more often shortened to e-commerce. Here you will be offered a glimpse of how it is to conduct business using the internet. You will know about the different types of businesses that exist in the electronic world.",IS336,No Dependent,IS,Level Six or Seven or Eight,3,Optional,2
Selected topics in information systems 3,IS490,"This course teaches concepts of information systems and their role in business. This course focuses on information systems, database management systems, networking, Internet, e-commerce, ethics and security, computer systems hardware and software components, and webpage development.",IS335,No Dependent,IS,Level Six or Seven or Eight,3,Optional,3
Instroduction to computer Scince,CS1110,"This is a lecture and laboratory course offered to introduce computer science and programming. Topics include information and data representation, hardware, programming methodology, algorithm design, abstract data types, programming languages, operating systems, applications, and communications.",No Requirements,"CS1140, CS1242",IT,Level One,3,Mandatory,3
IT Professional Practices,IT1130,"This course aims to heighten students' awareness of professional practice, and to develop new interpersonal and communication skills, leading to students becoming more competent professionals in their field.",No Requirements,CS1140,IT,Level One,2,Mandatory,3
Introduction to Computer Programming,CS1140,"This is a lecture and laboratory course offered to introduce computer science and programming. Topics include information and data representation, hardware, programming methodology, algorithm design, abstract data types, programming languages, operating systems, applications, and communications.","CS1110, IT1130",CS1141,IT,Level Two,4,Mandatory,3
