course_name,course_number,section_number,major,no_of_hours,reference_number,seats,classroom,daytime_days,daytime_t+A1+B+A1:J128
Financial principles,???300,372,IS,3,12071,25,C2-517,"M,W","7,300,900"
Graduation Project 1 -IS-,IS495,373,IS,3,12072,15,C2-114,"W,T","12,000,200"
Electronic business,IS460,374,IS,3,12073,30,C2-115,T,"8,251,015"
Information Security,IS492,375,IS,3,12074,25,C2-118,"W,T","10,151,145"
Business relations,IS401,371,IS,1,12075,15,C2-117,"M,R","12,300,100"
Graduation Project 2 -IS-,IS496,372,IS,3,12076,30,C2-514,R,"2,000,300"
Information systems strategy and policy,IS482,373,IS,3,12077,25,C2-515,"S,T","7,300,900"
Institutional environment,IS410,374,IS,3,12078,15,C2-518,"M,W","12,000,200"
Jurisprudence of electronic transactions,???206,375,IS,2,12079,30,C2-517,"W,T","8,251,015"
Geographic information systems,IS252,371,IS,3,12080,25,C2-114,T,"10,151,145"
Human interaction with computer,IS370,372,IS,3,12081,15,C2-115,"W,T","12,300,100"
User experience,IS372,373,IS,3,12082,30,C2-118,"M,R","2,000,300"
Knowledge management systems,IS323,374,IS,3,12083,25,C2-117,R,"7,300,900"
Health information systems,IS354,375,IS,3,12084,15,C2-514,"S,T","12,000,200"
Selected topics in information systems 1,IS384,371,IS,3,12085,30,C2-515,"M,W","8,251,015"
Database management,IS424,372,IS,3,12086,25,C2-518,"W,T","10,151,145"
Data mining,IS440,373,IS,3,12087,15,C2-517,T,"12,300,100"
Business intelligence,IS442,374,IS,3,12088,30,C2-114,"W,T","2,000,300"
Software quality and experience,IS435,375,IS,3,12089,25,C2-115,"M,R","7,300,900"
Selected topics in information systems 2,IS385,371,IS,3,12090,15,C2-118,R,"12,000,200"
Change management,IS463,372,IS,3,12091,30,C2-117,"S,T","8,251,015"
Enterprise resource planning systems,IS451,373,IS,3,12092,25,C2-514,"M,W","10,151,145"
Business process management,IS461,374,IS,3,12093,15,C2-515,"W,T","12,300,100"
E-commerce security,IS487,375,IS,3,12094,30,C2-518,T,"2,000,300"
Selected topics in information systems 3,IS490,371,IS,3,12095,25,C2-517,"W,T","7,300,900"
Instroduction to computer Scince,CS1110,372,IT,3,12096,15,C2-114,"M,R","12,000,200"
IT Professional Practices,IT1130,373,IT,2,12097,30,C2-115,R,"8,251,015"
Introduction to Computer Programming,CS1140,374,IT,4,12098,25,C2-118,"S,T","10,151,145"
Object-oriented programming ,CS1141,375,IT,4,12099,15,C2-117,"M,W","12,300,100"
English 2,ENG1041,371,"CS,IS,IT",3,12100,30,C2-514,"W,T","2,000,300"
Data Structures,CS1242,372,"CS,IS,IT",4,12101,25,C2-515,T,"7,300,900"
IT Fundamentals,IT1210,373,IT,3,12102,15,C2-518,"W,T","12,000,200"
University Package1,,374,IT,3,12103,30,C2-517,"M,R","8,251,015"
University Package3,,375,IT,3,12104,25,C2-114,R,"10,151,145"
IT Systems,IT1211,371,IT,4,12105,15,C2-115,"S,T","12,300,100"
Computer Operating Systems,IT1260,372,IT,4,12106,30,C2-118,"M,W","2,000,300"
University Package4,,373,IT,2,12107,25,C2-117,"W,T","7,300,900"
User Experience Engineering,IT1200,374,IT,3,12108,15,C2-514,T,"12,000,200"
Data Communications Networking,IT1240,375,IT,4,12109,30,C2-515,"W,T","8,251,015"
Database Design And Implementation,IT1220,371,IT,4,12110,25,C2-518,"M,R","10,151,145"
IT Project Mangement,IT1301,372,IT,5,12111,15,C2-517,R,"12,300,100"
Cybersecurity Principles,IT1310,373,IT,3,12112,30,C2-114,"S,T","2,000,300"
Web Systems and Technologies 1,IT1390,374,IT,3,12113,25,C2-115,"M,W","7,300,900"
University Package5,,375,IT,2,12114,15,C2-118,"W,T","12,000,200"
Web Systems and Technologies 2,IT1391,371,IT,3,12115,30,C2-117,T,"8,251,015"
Big Data Analytics,IT1322,372,IT,3,12116,25,C2-514,"W,T","10,151,145"
Information Security Technologies,IT1312,373,IT,3,12117,15,C2-515,"M,R","12,300,100"
Integrated Systems Architecure,,374,IT,4,12118,30,C2-518,R,"2,000,300"
University Package2,,375,IT,2,12119,25,C2-517,"S,T","7,300,900"
Internet of Things,IT1441,371,IT,3,12120,15,C2-114,"M,W","12,000,200"
Seminar,IT1490,372,IT,2,12121,30,C2-115,"W,T","8,251,015"
Graduation Project 1 -IT-,IT1492,373,IT,4,12122,25,C2-118,T,"10,151,145"
Graduation Project 2 -IT-,IT1493,374,IT,4,12123,15,C2-117,"W,T","12,300,100"
Training -CS-,CS362,375,CS,1,12124,30,C2-514,"M,R","2,000,300"
Training -IS-,IS398,371,IS,1,12125,25,C2-515,R,"7,300,900"
Training -IT-,IT491,372,IT,1,12126,15,C2-518,"S,T","12,000,200"
